,Name of movie,Genres,Year of release,Watch time,Movie Rating,Meta score,Votes
588,No Man's Land,"Comedy, Drama, War            ",I 2001,98,7.9,84,"47,882"
589,Vozvrashchenie,Drama            ,2003,110,7.9,82,"46,354"
590,Såsom i en spegel,Drama            ,1961,90,7.9,84,"26,280"
591,C.R.A.Z.Y.,"Comedy, Drama            ",2005,129,7.9,81,"33,440"
592,La Belle et la Bête,"Drama, Fantasy, Romance            ",1946,96,7.9,92,"27,186"
593,Gully Boy,"Drama, Music, Romance            ",2019,154,7.9,65,"41,222"
594,M.S. Dhoni: The Untold Story,"Biography, Drama, Sport            ",2016,184,7.9,^^^^^^,"62,717"
595,Đội Đặc Vụ Baby,"Action, Crime, Thriller            ",I 2015,159,7.9,^^^^^^,"58,763"
596,Airlift,"Action, Drama, History            ",2016,130,7.9,^^^^^^,"57,802"
597,Dev.D,"Comedy, Drama, Romance            ",2009,144,7.9,^^^^^^,"31,330"
598,Badhaai ho,"Comedy, Drama            ",2018,124,7.9,^^^^^^,"35,924"
599,Padman,"Comedy, Drama            ",2018,140,7.9,^^^^^^,"27,198"
600,Batman: Vạch Trần Sự Thật,"Action, Crime, Drama            ",2022,176,7.8,72,"696,854"
601,The Right Stuff,"Adventure, Biography, Drama            ",1983,193,7.8,91,"63,119"
602,Phía Tây Không Có Gì Lạ,"Action, Drama, War            ",2022,148,7.8,76,"202,386"
603,Quý Ông Thế Giới Ngầm,"Action, Comedy, Crime            ",2019,113,7.8,51,"359,233"
604,Rogue One: Star Wars Ngoại Truyện,"Action, Adventure, Sci-Fi            ",2016,133,7.8,65,"656,303"
605,Kiêu Hãnh và Định Kiến,"Drama, Romance            ",2005,129,7.8,82,"307,384"
606,RRR (Rise Roar Revolt),"Action, Drama            ",2022,187,7.8,83,"149,145"
607,Chiến Tranh Giữa Các Vì Sao Tập 7: Thần Lực Thức Tỉnh,"Action, Adventure, Sci-Fi            ",2015,138,7.8,80,"945,982"
608,Nhật Ký Tình Yêu,"Drama, Romance            ",2004,123,7.8,53,"586,966"
609,Những Người Phụ Nữ Bé Nhỏ,"Drama, Romance            ",2019,135,7.8,91,"218,263"
610,Hội Điểm Tâm,"Comedy, Drama            ",1985,97,7.8,66,"412,776"
611,Tay Lái Siêu Hạng,"Action, Drama            ",I 2011,100,7.8,78,"662,616"
612,Gọi Em Bằng Tên Anh,"Drama, Romance            ",2017,132,7.8,94,"287,342"
613,Tombstone,"Biography, Drama, History            ",1993,130,7.8,50,"155,471"
614,Tám Hận Thù,"Crime, Drama, Mystery            ",2015,168,7.8,68,"621,977"
615,Cuộc Di Tản Dunkirk,"Action, Drama, History            ",2017,106,7.8,94,"680,488"
616,Đại Suy Thoái,"Biography, Comedy, Drama            ",2015,130,7.8,81,"445,771"
617,Giang Hồ Mỹ,"Biography, Crime, Drama            ",2007,157,7.8,76,"435,798"
618,Người Đàn Ông Ireland,"Biography, Crime, Drama            ",2019,209,7.8,94,"402,406"
619,Đế Chế Maya,"Action, Adventure, Drama            ",2006,139,7.8,68,"319,632"
620,Kỳ Nghỉ Của Ferris Bueller,Comedy            ,1986,103,7.8,61,"368,760"
621,Đã Đến Lúc,"Comedy, Drama, Fantasy            ",I 2013,123,7.8,55,"363,571"
622,Người Hobbit: Hành Trình Vô Định,"Adventure, Fantasy            ",2012,169,7.8,58,"842,918"
623,Hoa Hậu Nhí,"Comedy, Drama            ",2006,101,7.8,80,"494,472"
624,Chuộc Lỗi,"Drama, Mystery, Romance            ",2007,123,7.8,85,"286,867"
625,Cô Gái Có Hình Xăm Rồng,"Crime, Drama, Mystery            ",2011,158,7.8,71,"473,529"
626,Bộ Ba Ưu Việt,"Biography, Drama, History            ",2016,127,7.8,74,"240,013"
627,Một Mình Trên Hoang Đảo,"Adventure, Drama, Romance            ",2000,143,7.8,73,"608,126"
628,Kẻ Săn Tin Đen,"Crime, Drama, Thriller            ",2014,117,7.8,76,"567,904"
629,Mạng Xã Hội,"Biography, Drama            ",2010,120,7.8,95,"721,743"
630,Cánh Đồng Chết,"Biography, Drama, History            ",1984,141,7.8,76,"57,142"
631,Cưỡng Đoạt,"Action, Crime, Thriller            ",I 2008,90,7.8,51,"613,803"
632,Dị Nhân Benjamin,"Drama, Fantasy, Romance            ",2008,166,7.8,70,"666,698"
633,Biệt Đội Săn Ma,"Action, Comedy, Fantasy            ",1984,105,7.8,71,"424,972"
634,Moonrise Kingdom,"Comedy, Drama, Family            ",2012,94,7.8,84,"356,482"
635,Siêu Cớm,"Action, Comedy, Mystery            ",2007,121,7.8,81,"516,321"
636,Quái Thú Vô Hình,"Action, Adventure, Horror            ",1987,107,7.8,47,"433,577"
637,Đội Bóng Phi Thường,"Biography, Drama, Sport            ",2000,113,7.8,48,"221,859"
638,Captain America: Nội Chiến Siêu Anh Hùng,"Action, Sci-Fi            ",2016,147,7.8,75,"809,466"
639,Công Nghệ Gen,"Drama, Sci-Fi, Thriller            ",1997,106,7.8,64,"311,726"
640,Willy Wonka và Nhà Máy Sôcôla,"Family, Fantasy, Musical            ",1971,100,7.8,67,"208,842"
641,Verdens verste menneske,"Comedy, Drama, Romance            ",2021,128,7.8,90,"79,276"
642,Tử Địa Skyfall,"Action, Adventure, Thriller            ",2012,143,7.8,81,"708,776"
643,Captain America: Chiến Binh Mùa Đông,"Action, Adventure, Sci-Fi            ",2014,136,7.8,70,"864,680"
644,Lũ Quỷ Nhỏ,"Comedy, Drama, Family            ",1993,101,7.8,55,"96,220"
645,Manchester by the Sea,Drama            ,2016,137,7.8,96,"292,977"
646,Không Thể Mua Chuộc,"Crime, Drama, Thriller            ",1987,119,7.8,79,"318,186"
647,Captain Fantastic,"Comedy, Drama            ",2016,118,7.8,72,"224,923"
648,Mary Poppins,"Comedy, Family, Fantasy            ",1964,139,7.8,88,"178,118"
649,Boyz n the Hood,"Crime, Drama            ",1991,112,7.8,76,"145,982"
650,Trở Về Tương Lai Phần 2,"Adventure, Comedy, Sci-Fi            ",1989,108,7.8,57,"546,969"
651,Ác Nhân,"Action, Crime, Drama            ",2010,144,7.8,67,"136,696"
652,Người Hobbit: Đại Chiến Với Rồng Lửa,Fantasy            ,2013,161,7.8,66,"677,929"
653,Kẻ Đào Tẩu,"Action, Crime, Drama            ",1993,130,7.8,87,"304,041"
654,La montaña sagrada,"Adventure, Drama, Fantasy            ",1973,114,7.8,76,"45,233"
655,Awakenings,"Biography, Drama            ",1990,121,7.8,74,"148,554"
656,Chuyện Ở Bronx,"Crime, Drama            ",1993,121,7.8,80,"148,201"
657,Nữ Anh Hùng Misery,"Drama, Thriller            ",1990,107,7.8,75,"220,500"
658,Sứ Mệnh Hiểm Nguy,"Action, Adventure, Sci-Fi            ",2005,119,7.8,74,"300,004"
659,Biệt Đội Big Hero 6,"Animation, Action, Adventure            ",2014,102,7.8,74,"475,322"
660,Thirteen Lives,"Action, Adventure, Biography            ",2022,147,7.8,66,"60,228"
661,Đảo Của Những Chú Chó,"Animation, Adventure, Comedy            ",2018,101,7.8,82,"176,858"
662,Mặt Trăng,"Drama, Mystery, Sci-Fi            ",2009,97,7.8,67,"366,168"
663,Võ Sĩ Đạo Cuối Cùng,"Action, Drama            ",2003,154,7.8,55,"451,349"
664,Thuyền Trưởng Phillips,"Action, Biography, Crime            ",2013,134,7.8,82,"472,302"
665,Những Cậu Bé Hỏa Tiễn,"Biography, Drama, Family            ",1999,108,7.8,71,"94,321"
666,Võ Sĩ,"Action, Biography, Drama            ",I 2010,116,7.8,79,"376,479"
667,Dọc Đường Gió Bụi,"Biography, Drama, Music            ",2005,136,7.8,72,"256,989"
668,Män som hatar kvinnor,"Crime, Drama, Mystery            ",2009,152,7.8,76,"219,418"
669,Gấu Paddington 2,"Adventure, Comedy, Family            ",2017,103,7.8,88,"84,637"
670,Vinh Quang,"Biography, Drama, History            ",1989,122,7.8,78,"138,580"
671,Bí Kíp Luyện Rồng 2,"Animation, Action, Adventure            ",2014,102,7.8,77,"346,751"
672,Ban Nhạc Rap Huyền Thoại,"Biography, Drama, History            ",2015,147,7.8,72,"208,625"
673,Nội Gián,"Biography, Drama, Thriller            ",1999,157,7.8,84,"174,694"
674,Đi Tìm Vận May,Drama            ,1969,113,7.8,79,"114,808"
675,Cú Ngã,"Adventure, Drama, Fantasy            ",I 2006,117,7.8,64,"114,213"
676,My Fair Lady,"Drama, Family, Musical            ",1964,170,7.8,95,"98,310"
677,Hunt for the Wilderpeople,"Adventure, Comedy, Drama            ",2016,101,7.8,81,"134,918"
678,Kẻ Ngoài Vòng Pháp Luật,Western            ,1976,135,7.8,69,"76,386"
679,Cô Phù Thủy Nhỏ Kiki,"Animation, Family, Fantasy            ",1989,103,7.8,85,"151,318"
680,The Conversation,"Drama, Mystery, Thriller            ",1974,113,7.8,87,"115,594"
681,Kẻ Lập Dị,"Crime, Drama, Mystery            ",2013,131,7.8,49,"123,076"
682,The Remains of the Day,"Drama, Romance            ",1993,134,7.8,86,"78,279"
683,Red River,"Drama, Western            ",1948,133,7.8,96,"32,546"
684,Dawn of the Dead,"Horror, Thriller            ",1978,127,7.8,71,"124,023"
685,The King of Comedy,"Comedy, Crime, Drama            ",1982,109,7.8,73,"109,013"
686,Cabaret,"Drama, Music, Musical            ",1972,124,7.8,80,"57,030"
687,Bàn Chân Trái Của Tôi,"Biography, Drama            ",1989,103,7.8,97,"76,725"
688,Đêm Của Những Thây Ma,"Horror, Thriller            ",1968,96,7.8,89,"133,052"
689,Dòng Sông Mãnh Liệt,"Crime, Drama, Mystery            ",1988,128,7.8,65,"104,102"
690,Sự Hoài Nghi,"Biography, Crime, Drama            ",2008,141,7.8,63,"259,640"
691,Ngày Thiên Đường,"Drama, Romance            ",1978,94,7.8,93,"59,972"
692,Gà Trống Nuôi Con,Drama            ,1979,105,7.8,77,"149,262"
693,Kẻ Bất Tài,"Biography, Comedy, Drama            ",1994,127,7.8,70,"179,509"
694,Người Mẹ,"Crime, Drama, Mystery            ",2009,129,7.8,79,"67,397"
695,Một Lần Như Thế,"Drama, Music, Romance            ",I 2007,86,7.8,90,"118,690"
696,East of Eden,Drama            ,1955,118,7.8,72,"47,009"
697,Breaking the Waves,Drama            ,1996,159,7.8,81,"69,099"
698,Gaslight,"Crime, Drama, Mystery            ",1944,114,7.8,78,"31,145"
699,Pride,"Biography, Comedy, Drama            ",I 2014,119,7.8,79,"59,261"
700,Freaks,"Drama, Horror            ",1932,64,7.8,80,"48,210"
701,Stagecoach,"Adventure, Drama, Western            ",1939,96,7.8,93,"51,143"
702,To Have and Have Not,"Adventure, Comedy, Film-Noir            ",1944,100,7.8,90,"36,341"
703,All That Jazz,"Drama, Music, Musical            ",1979,123,7.8,72,"33,364"
704,The Day the Earth Stood Still,"Drama, Sci-Fi            ",1951,92,7.8,83,"83,547"
705,Manhattan,"Comedy, Drama, Romance            ",1979,96,7.8,83,"142,901"
706,Frankenstein,"Drama, Horror, Sci-Fi            ",1931,70,7.8,91,"75,521"
707,Kẻ Săn Đuổi,"Action, Crime, Drama            ",2008,125,7.8,64,"69,034"
708,Vincent Thương Mến,"Animation, Drama, Mystery            ",2017,94,7.8,62,"60,246"
709,Lilja 4-ever,"Crime, Drama            ",2002,109,7.8,83,"47,100"
710,Guess Who's Coming to Dinner,"Comedy, Drama            ",1967,108,7.8,63,"46,847"
711,Todo sobre mi madre,Drama            ,1999,101,7.8,87,"99,447"
712,"Aguirre, der Zorn Gottes","Action, Adventure, Biography            ",1972,95,7.8,^^^^^^,"59,006"
713,The Day of the Jackal,"Crime, Drama, Thriller            ",1973,143,7.8,80,"42,418"
714,Hannah and Her Sisters,"Comedy, Drama            ",1986,107,7.8,90,"73,344"
715,Tay Đua Huyền Thoại,"Biography, Drama, Sport            ",2005,127,7.8,68,"56,408"
716,Dải Ruy Băng Trắng,"Drama, Mystery, Thriller            ",2009,144,7.8,84,"75,367"
717,Jûbê ninpûchô,"Animation, Action, Adventure            ",1993,94,7.8,^^^^^^,"38,763"
718,The Man Who Would Be King,"Adventure, War            ",1975,129,7.8,91,"50,426"
719,Mảnh Đất Của Tôi,"Drama, History, War            ",2015,100,7.8,75,"43,134"
720,Shadow of a Doubt,"Film-Noir, Thriller            ",1943,108,7.8,94,"67,605"
721,Le charme discret de la bourgeoisie,Comedy            ,1972,102,7.8,93,"44,793"
722,Bringing Up Baby,Comedy            ,1938,102,7.8,91,"63,552"
723,Nhà Tiên Tri,"Crime, Drama            ",2009,155,7.8,90,"100,146"
724,"I, Daniel Blake",Drama            ,2016,100,7.8,78,"61,936"
725,The Innocents,Horror            ,1961,100,7.8,88,"31,570"
726,Chiếc Hộp Lạ Kì,"Drama, Romance            ",2013,104,7.8,76,"58,017"
727,Batman: Mask of the Phantasm,"Animation, Action, Adventure            ",1993,76,7.8,65,"53,366"
728,His Girl Friday,"Comedy, Drama, Romance            ",1940,92,7.8,^^^^^^,"60,704"
729,Les parapluies de Cherbourg,"Drama, Musical, Romance            ",1964,91,7.8,86,"29,073"
730,Duck Soup,"Comedy, Musical            ",1933,69,7.8,93,"61,365"
731,Les choristes,"Comedy, Drama, Music            ",2004,97,7.8,56,"64,484"
732,The Lady Vanishes,"Mystery, Thriller            ",1938,96,7.8,98,"54,677"
733,Điệp Huyết Song Hùng,"Action, Crime, Drama            ",1989,111,7.8,82,"49,516"
734,Cowboy Bebop: Tengoku no tobira,"Animation, Action, Crime            ",2001,115,7.8,61,"50,559"
735,Bride of Frankenstein,"Drama, Horror, Sci-Fi            ",1935,75,7.8,95,"50,450"
736,You Can't Take It with You,"Comedy, Drama, Romance            ",1938,126,7.8,^^^^^^,"26,749"
737,The Asphalt Jungle,"Crime, Drama, Film-Noir            ",1950,112,7.8,85,"28,447"
738,Crimes and Misdemeanors,"Comedy, Drama            ",1989,104,7.8,77,"59,270"
739,Vivre sa vie: Film en douze tableaux,Drama            ,1962,80,7.8,^^^^^^,"33,417"
740,Vai Diễn Ngàn Năm,"Animation, Drama, Fantasy            ",2001,87,7.8,70,"29,675"
741,Soshite chichi ni naru,Drama            ,2013,121,7.8,73,"26,369"
742,Il postino,"Biography, Comedy, Drama            ",1994,108,7.8,81,"37,609"
743,Một Thời Ở Anatolia,"Crime, Drama, Thriller            ",2011,157,7.8,82,"47,744"
744,L'avventura,"Drama, Mystery, Romance            ",1960,144,7.8,^^^^^^,"31,040"
745,Tôkyô goddofâzâzu,"Animation, Adventure, Comedy            ",2003,92,7.8,74,"43,036"
746,Knockin' on Heaven's Door,"Action, Crime, Comedy            ",1997,87,7.8,^^^^^^,"32,013"
747,Ma vie de Courgette,"Animation, Comedy, Drama            ",2016,66,7.8,85,"26,964"
748,Veer-Zaara,"Drama, Family, Musical            ",2004,192,7.8,67,"54,833"
749,Tiếng Anh Là Chuyện Nhỏ,"Comedy, Drama, Family            ",2012,134,7.8,^^^^^^,"37,523"
750,A Night at the Opera,"Comedy, Music, Musical            ",1935,96,7.8,^^^^^^,"33,661"
751,Vicky Donor,"Comedy, Romance            ",2012,126,7.8,^^^^^^,"44,279"
752,Hindi Medium,"Comedy, Drama            ",2017,132,7.8,^^^^^^,"30,420"
753,Avatar: Dòng Chảy Của Nước,"Action, Adventure, Fantasy            ",2022,192,7.7,67,"377,198"
754,The Whale,Drama            ,2022,117,7.7,60,"140,869"
755,The Banshees of Inisherin,"Comedy, Drama            ",2022,114,7.7,87,"205,703"
756,Aftersun,Drama            ,II 2022,102,7.7,95,"61,230"
757,Trốn Thoát,"Horror, Mystery, Thriller            ",I 2017,104,7.7,85,"638,703"
758,The Goonies,"Adventure, Comedy, Family            ",1985,114,7.7,62,"284,307"
759,Mật Vụ Kingsman,"Action, Adventure, Comedy            ",2014,129,7.7,60,"684,640"
760,Ma Cây 2,"Comedy, Horror            ",1987,84,7.7,72,"172,418"
761,Ba Chàng Ngự Lâm,Comedy            ,2009,100,7.7,73,"806,134"
762,Vùng Đất Tử Thần,"Crime, Drama, Mystery            ",2017,107,7.7,73,"261,823"
763,Người Máy Trỗi Dậy,"Drama, Sci-Fi, Thriller            ",2014,108,7.7,78,"560,550"
764,Diều Hâu Gãy Cánh,"Action, Drama, History            ",2001,144,7.7,74,"406,220"
765,Harry Potter và Chiếc Cốc Lửa,"Adventure, Family, Fantasy            ",2005,157,7.7,81,"645,414"
766,Phán Quyết,"Adventure, Drama, Thriller            ",1972,109,7.7,80,"113,923"
767,Nhiệm Vụ Bất Khả Thi: Sụp Đổ,"Action, Adventure, Thriller            ",2018,147,7.7,86,"343,900"
768,Chuyện Tình Sau Núi,"Drama, Romance            ",2005,134,7.7,87,"366,921"
769,Sát Nhân Huyền Thoại,"Crime, Drama, Mystery            ",2007,157,7.7,79,"560,192"
770,La vie d'Adèle,"Drama, Romance            ",2013,180,7.7,90,"156,914"
771,Chiến Dịch Sinh Tử,"Biography, Drama, Thriller            ",2012,120,7.7,86,"624,073"
772,Cô Bé Coraline,"Animation, Drama, Family            ",2009,100,7.7,80,"242,027"
773,Tột Cùng Sợ Hãi,"Crime, Drama, Mystery            ",1996,129,7.7,47,"231,291"
774,Chuyến Bay Tình Yêu,Comedy            ,1980,88,7.7,78,"248,057"
775,Ở Nhà Một Mình,"Comedy, Family            ",1990,103,7.7,63,"603,336"
776,Bá Tước Monte Cristo,"Action, Adventure, Drama            ",2002,131,7.7,61,"142,321"
777,Người Đỡ Đạn,"Action, Crime, Drama            ",2004,146,7.7,47,"371,406"
778,Apollo 13: Bí Ẩn Mặt Trăng,"Adventure, Drama, History            ",I 1995,140,7.7,77,"302,796"
779,Blue Velvet,"Crime, Drama, Mystery            ",1986,120,7.7,76,"205,709"
780,Harry Potter và Bảo Bối Tử Thần: Phần 1,"Adventure, Family, Fantasy            ",2010,146,7.7,65,"566,502"
781,11 Tên Cướp Thế Kỷ,"Crime, Thriller            ",2001,116,7.7,74,"590,122"
782,Công Chúa Tóc Mây,"Animation, Adventure, Comedy            ",2010,100,7.7,71,"467,899"
783,Trò Chơi Ma Quỷ,"Drama, Mystery, Thriller            ",1997,129,7.7,63,"408,356"
784,Cảnh Sát Trưởng Da Đen,"Comedy, Western            ",1974,93,7.7,73,"144,326"
785,Người Mohican Cuối Cùng,"Action, Adventure, Drama            ",1992,112,7.7,76,"177,069"
786,Lạc Lối Ở Tokyo,"Comedy, Drama            ",2003,102,7.7,91,"466,516"
787,500 Ngày Yêu,"Comedy, Drama, Romance            ",2009,95,7.7,76,"529,642"
788,Tình Yêu Tìm Lại,"Comedy, Drama, Romance            ",2012,122,7.7,81,"720,718"
789,Druk,"Comedy, Drama            ",2020,117,7.7,79,"172,873"
790,Y tu mamá también,Drama            ,2001,106,7.7,89,"125,542"
791,Hững Hờ,Drama            ,2011,98,7.7,52,"90,966"
792,Mr. Nobody,"Drama, Fantasy, Romance            ",2009,141,7.7,63,"238,609"
793,Câu Chuyện Lego,"Animation, Action, Adventure            ",2014,100,7.7,83,"367,893"
794,Key Largo,"Action, Crime, Drama            ",1948,100,7.7,^^^^^^,"42,416"
795,Người Chim hay (Công Dụng Không Ngờ Của Việc Kém Nổi Tiếng),"Comedy, Drama            ",2014,119,7.7,87,"644,554"
796,Ngày Huấn Luyện,"Action, Crime, Drama            ",2001,122,7.7,69,"449,280"
797,Tình Yêu Của Gilbert Grape,Drama            ,1993,118,7.7,73,"243,697"
798,X-Men: Thế Hệ Thứ Nhất,"Action, Sci-Fi            ",2011,131,7.7,65,"703,913"
799,Chỉ Vài Người Tốt,"Drama, Thriller            ",1992,138,7.7,62,"272,667"
800,Đế Chế Mặt Trời,"Drama, War            ",1987,153,7.7,62,"129,735"
801,Malcolm X,"Biography, Drama, History            ",1992,202,7.7,73,"97,940"
802,Câu Chuyện Đồ Chơi 4,"Animation, Adventure, Comedy            ",2019,100,7.7,84,"261,106"
803,Gã Thợ Máy,"Drama, Thriller            ",2004,101,7.7,61,"400,255"
804,Con Đường Diệt Vong,"Crime, Drama, Thriller            ",2002,117,7.7,72,"275,524"
805,Đổ Vỡ,"Crime, Drama, Thriller            ",I 2004,112,7.7,66,"442,060"
806,Rambo: Đổ Máu,"Action, Adventure, Thriller            ",1982,93,7.7,61,"261,743"
807,Nửa Đêm Ở Paris,"Comedy, Fantasy, Romance            ",2011,94,7.7,81,"434,106"
808,Sát Nhân Halloween,"Horror, Thriller            ",1978,91,7.7,87,"288,186"
809,Lý Trí Và Tình Cảm,"Drama, Romance            ",1995,136,7.7,84,"119,925"
810,Ráp-phờ Đập Phá,"Animation, Adventure, Comedy            ",2012,101,7.7,72,"435,649"
811,As Good as It Gets,"Comedy, Drama, Romance            ",1997,139,7.7,67,"306,893"
812,3 Kẻ Trốn Tù,"Adventure, Comedy, Crime            ",2000,107,7.7,69,"319,543"
813,En man som heter Ove,"Comedy, Drama, Romance            ",2015,116,7.7,70,"62,932"
814,Chú bé mang pyjama sọc,"Drama, War            ",2008,94,7.7,55,"229,023"
815,Phiên Tòa Chicago 7,"Drama, History, Thriller            ",2020,129,7.7,76,"183,583"
816,Ai Mưu Hại Thỏ Roger?,"Animation, Adventure, Comedy            ",1988,104,7.7,83,"207,564"
817,Súng Thần,"Action, Thriller            ",1999,108,7.7,44,"243,167"
818,Siêu Điệp Viên 2: Quyền Lực Của Bourne,"Action, Mystery, Thriller            ",2004,108,7.7,73,"472,900"
819,Khi Lỗi Thuộc Về Những Vì Sao,"Drama, Romance            ",2014,126,7.7,69,"386,489"
820,Cuộc Chiến Không Trọng Lực,"Drama, Sci-Fi, Thriller            ",2013,91,7.7,96,"839,689"
821,Bảy Tay Súng Huyền Thoại,"Action, Adventure, Drama            ",1960,128,7.7,74,"98,069"
822,Sound of Metal,"Drama, Music            ",2019,120,7.7,82,"136,415"
823,Star Trek: Chìm Trong Bóng Tối,"Action, Adventure, Sci-Fi            ",2013,132,7.7,72,"488,891"
824,Lật Ngược,"Comedy, Drama, Romance            ",I 2010,90,7.7,45,"93,342"
825,Thử Làm John Malkovich,"Comedy, Drama, Fantasy            ",1999,113,7.7,90,"343,471"
826,Donnie Brasco: Kẻ Nằm Vùng,"Biography, Crime, Drama            ",1997,127,7.7,76,"316,338"
827,Adaptation.,"Comedy, Drama            ",2002,115,7.7,83,"196,834"
828,Happiness,"Comedy, Drama            ",1998,134,7.7,81,"72,020"
829,Serpico,"Biography, Crime, Drama            ",1973,130,7.7,81,"127,776"
830,When Harry Met Sally...,"Comedy, Drama, Romance            ",1989,95,7.7,76,"228,058"
831,Dirty Harry,"Action, Crime, Thriller            ",1971,102,7.7,87,"161,410"
832,Màu tía,Drama            ,1985,154,7.7,78,"90,100"
833,Chuyến Tàu Tới Yuma,"Action, Crime, Drama            ",2007,122,7.7,76,"319,723"
834,Star Trek 2: Cơn thịnh nộ của Khan,"Action, Adventure, Sci-Fi            ",1982,113,7.7,68,"124,999"
835,Thuyết Yêu Thương,"Biography, Drama, Romance            ",2014,123,7.7,71,"462,974"
836,Ngón Tay Vàng,"Action, Adventure, Thriller            ",1964,110,7.7,87,"195,327"
837,Fried Green Tomatoes,Drama            ,1991,130,7.7,64,"77,718"
838,The French Connection,"Action, Crime, Drama            ",1971,104,7.7,94,"127,364"
839,Cuốn Sổ Đen,"Drama, Thriller, War            ",2006,145,7.7,71,"78,394"
840,Naked,"Comedy, Drama            ",1993,131,7.7,85,"41,397"
841,Philadelphia,Drama            ,1993,125,7.7,66,"248,308"
842,Glengarry Glen Ross,"Crime, Drama, Mystery            ",1992,100,7.7,82,"110,035"
843,Dân Chơi,Comedy            ,1994,92,7.7,70,"227,060"
844,"South Park: Bigger, Longer & Uncut","Animation, Comedy, Fantasy            ",1999,81,7.7,73,"209,463"
845,Án Mạng Trong Tu Viện,"Drama, Mystery, Thriller            ",1986,130,7.7,54,"111,736"
846,Badlands,"Action, Crime, Drama            ",1973,94,7.7,93,"75,167"
847,Tuyệt Đỉnh Kung Fu,"Action, Comedy, Fantasy            ",2004,99,7.7,78,"144,118"
848,Khu Phố Roma,Drama            ,2018,135,7.7,96,"163,394"
849,Đi Tìm Miền Đất Hứa,"Biography, Drama, Family            ",2004,106,7.7,67,"208,835"
850,Những Kẻ Cướp Nhà Băng,"Action, Biography, Crime            ",1967,111,7.7,86,"116,297"
851,Ordinary People,Drama            ,1980,124,7.7,86,"54,283"
852,Ray,"Biography, Drama, Music            ",I 2004,152,7.7,73,"151,752"
853,Hoàng Đế Cuối Cùng,"Biography, Drama, History            ",1987,163,7.7,76,"107,026"
854,Gió Nổi,"Animation, Biography, Drama            ",2013,126,7.7,83,"90,170"
855,La grande bellezza,Drama            ,2013,141,7.7,86,"93,822"
856,Kẻ Trộm Giấc Mơ,"Animation, Drama, Fantasy            ",2006,90,7.7,81,"87,415"
857,Con Số May Mắn,"Crime, Drama, Thriller            ",2006,110,7.7,53,"318,682"
858,Đây Là Nước Anh,"Crime, Drama            ",2006,101,7.7,86,"124,886"
859,Billy Elliot,"Drama, Music            ",2000,110,7.7,74,"138,262"
860,Kubo và Sứ Mệnh Samurai,"Animation, Action, Adventure            ",2016,101,7.7,84,"133,374"
861,The Verdict,Drama            ,1982,129,7.7,77,"42,838"
862,Miller's Crossing,"Crime, Drama, Thriller            ",1990,115,7.7,66,"138,084"
863,The Dirty Dozen,"Action, Adventure, War            ",1967,150,7.7,73,"75,927"
864,Belle de jour,"Drama, Romance            ",1967,100,7.7,^^^^^^,"46,490"
865,Chạy Đi Lola,"Action, Crime, Thriller            ",1998,81,7.7,77,"202,173"
866,Hamlet,Drama            ,1996,242,7.7,^^^^^^,"38,947"
867,The Quiet Man,"Comedy, Drama, Romance            ",1952,129,7.7,85,"40,374"
868,The Longest Day,"Action, Drama, History            ",1962,178,7.7,75,"57,336"
869,Người Vô Danh Tính,"Action, Crime, Drama            ",2010,119,7.7,^^^^^^,"71,845"
870,Kurenai no buta,"Animation, Adventure, Comedy            ",1992,94,7.7,83,"93,891"
871,Dã Thú Một Quốc Gia,"Drama, War            ",2015,137,7.7,79,"83,867"
872,Love and Death,"Comedy, War            ",1975,85,7.7,89,"39,563"
873,Spoorloos,"Mystery, Thriller            ",1988,107,7.7,^^^^^^,"40,825"
874,Ondskan,Drama            ,2003,113,7.7,61,"40,023"
875,La planète sauvage,"Animation, Sci-Fi            ",1973,72,7.7,73,"33,720"
876,Abre los ojos,"Drama, Mystery, Sci-Fi            ",1997,119,7.7,^^^^^^,"71,061"
877,Short Cuts,"Comedy, Drama            ",1993,188,7.7,81,"46,064"
878,"Tôi, Earl và Cô Bạn Hấp Hối","Comedy, Drama, Romance            ",2015,105,7.7,74,"134,501"
879,Giai Điệu Kỳ Diệu,"Animation, Family, Fantasy            ",1940,124,7.7,96,"99,579"
880,À bout de souffle,"Crime, Drama            ",1960,90,7.7,^^^^^^,"84,519"
881,Zulu,"Drama, History, War            ",1964,138,7.7,77,"40,793"
882,La double vie de Véronique,"Drama, Fantasy, Music            ",1991,98,7.7,86,"50,633"
883,Good Bye Lenin!,"Comedy, Drama, Romance            ",2003,121,7.7,68,"149,062"
884,Đánh Thức Cuộc Đời,"Animation, Drama, Fantasy            ",2001,99,7.7,83,"65,507"
885,Nebraska,Drama            ,2013,115,7.7,86,"120,186"
886,Nữ Hoàng Châu Phi,"Adventure, Drama, Romance            ",1951,105,7.7,91,"81,069"
887,Người Lạ Hoàn Hảo,"Comedy, Drama            ",2016,96,7.7,^^^^^^,"67,916"
888,Lạt Thủ Thần Thám,"Action, Crime, Thriller            ",1992,128,7.7,^^^^^^,"52,043"
889,Invasion of the Body Snatchers,"Drama, Horror, Sci-Fi            ",1956,80,7.7,92,"52,087"
890,Kỷ Niệm Về Marnie,"Animation, Drama, Family            ",2014,103,7.7,72,"43,415"
891,Wait Until Dark,Thriller            ,1967,108,7.7,81,"32,005"
892,Black Narcissus,Drama            ,1947,101,7.7,86,"26,101"
