,Name of movie,Genres,Year of release,Watch time,Movie Rating,Meta score,Votes
102,Cuộc Săn Lùng,Drama            ,2012,115,8.3,77,"340,469"
103,Áo Giắp Sắt,"Drama, War            ",1987,116,8.3,78,"757,246"
104,Những Kẻ Phản Bội,"Crime, Thriller            ",1992,99,8.3,81,"1,040,872"
105,Anh Hùng Hamilton,"Biography, Drama, History            ",2020,160,8.3,89,"100,896"
106,Nước Mỹ Một Thời,"Crime, Drama            ",1984,229,8.3,75,"359,531"
107,Câu Chuyện Đồ Chơi,"Animation, Adventure, Comedy            ",1995,81,8.3,96,"1,015,690"
108,Tìm Tung Tích Mẹ,"Drama, Mystery            ",2010,131,8.3,80,"183,361"
109,Giết Con Chim Nhại,"Crime, Drama            ",1962,129,8.3,88,"321,765"
110,Vút Bay,"Animation, Adventure, Comedy            ",2009,96,8.3,88,"1,066,935"
111,The Sting,"Comedy, Crime, Drama            ",1973,129,8.3,83,"269,133"
112,Le fabuleux destin d'Amélie Poulain,"Comedy, Romance            ",2001,122,8.3,69,"768,647"
113,Công Dân Kane,"Drama, Mystery            ",1941,119,8.3,100,"449,940"
114,Công Chúa Mononoke,"Animation, Action, Adventure            ",1997,134,8.3,76,"405,699"
115,Quay Cuồng,"Mystery, Romance, Thriller            ",1958,128,8.3,100,"410,239"
116,Lawrence Xứ Ả Rập,"Adventure, Biography, Drama            ",1962,218,8.3,100,"300,533"
117,Câu Chuyện Đồ Chơi 3,"Animation, Adventure, Comedy            ",2010,103,8.3,92,"853,263"
118,Bắc Tây Bắc,"Action, Adventure, Mystery            ",1959,136,8.3,98,"334,061"
119,Hát Dưới Mưa,"Comedy, Musical, Romance            ",1952,103,8.3,99,"248,450"
120,Thành Phố Trung Tâm,"Drama, Sci-Fi            ",1927,153,8.3,98,"177,980"
121,Cuộc Chia Ly,Drama            ,2011,123,8.3,95,"249,139"
122,Tòa Án Chiến Tranh,"Drama, War            ",1961,179,8.3,60,"79,771"
123,Căn Hộ Tình Yêu,"Comedy, Drama, Romance            ",1960,125,8.3,94,"186,237"
124,Ikiru,Drama            ,1952,143,8.3,92,"81,578"
125,M - Eine Stadt sucht einen Mörder,"Crime, Mystery, Thriller            ",1931,117,8.3,^^^^^^,"161,436"
126,Cậu Bé Đặc Biệt,"Drama, Family            ",2007,165,8.3,^^^^^^,"197,631"
127,Double Indemnity,"Crime, Drama, Film-Noir            ",1944,107,8.3,95,"160,556"
128,Kẻ Cắp Xe Đạp,Drama            ,1948,89,8.3,^^^^^^,"167,274"
129,Dangal,"Action, Biography, Drama            ",2016,161,8.3,^^^^^^,"196,850"
130,Kantara,"Action, Adventure, Drama            ",2022,148,8.3,^^^^^^,"94,823"
131,K.G.F: Chapter 2,"Action, Crime, Drama            ",2022,168,8.3,^^^^^^,"139,266"
132,Ratsasan,"Action, Crime, Drama            ",2018,170,8.3,^^^^^^,"46,802"
133,Vikram,"Action, Crime, Thriller            ",2022,175,8.3,^^^^^^,"63,579"
134,Đứa Trẻ,"Comedy, Drama, Family            ",1921,68,8.3,^^^^^^,"129,089"
135,Cuộc Chiến Kargil,"Action, Biography, Drama            ",2021,135,8.3,^^^^^^,"124,494"
136,Chhichhore,"Comedy, Drama, Romance            ",2019,143,8.3,^^^^^^,"57,566"
137,Ayla: The Daughter of War,"Biography, Drama, History            ",2017,125,8.3,^^^^^^,"41,476"
138,Drishyam,"Crime, Drama, Thriller            ",2013,160,8.3,^^^^^^,"42,570"
139,Sát Thủ John Wick: Chương 4,"Action, Crime, Thriller            ",2023,169,8.2,78,"146,376"
140,Người Nhện: Không Còn Nhà,"Action, Adventure, Fantasy            ",2021,148,8.2,71,"792,475"
141,Sói Già Phố Wall,"Biography, Comedy, Crime            ",2013,180,8.2,75,"1,458,327"
142,Công Viên Kỷ Jura,"Action, Adventure, Sci-Fi            ",1993,127,8.2,68,"1,011,764"
143,Tài Xế Taxi,"Crime, Drama            ",1976,114,8.2,94,"861,332"
144,Không Chốn Dung Thân,"Crime, Drama, Thriller            ",2007,122,8.2,92,"999,137"
145,Đảo Kinh Hoàng,"Mystery, Thriller            ",2010,138,8.2,63,"1,356,732"
146,The Father,"Drama, Mystery            ",I 2020,97,8.2,88,"167,336"
147,Quái Vật Biến Hình,"Horror, Mystery, Sci-Fi            ",1982,109,8.2,57,"437,507"
148,Thế Chiến 1917,"Action, Drama, War            ",2019,119,8.2,78,"618,408"
149,Máu Sẽ Phải Đổ,Drama            ,2007,158,8.2,93,"601,116"
150,Cẩm Nang Xanh,"Biography, Comedy, Drama            ",2018,130,8.2,69,"516,989"
151,Cô Dâu Báo Thù 1,"Action, Crime, Drama            ",2003,111,8.2,69,"1,138,579"
152,Buổi Diễn Của Truman,"Comedy, Drama            ",1998,103,8.2,90,"1,113,983"
153,Tên Trộm Nữ Trang,"Comedy, Crime            ",2000,104,8.2,55,"872,445"
154,Sòng Bạc,"Crime, Drama            ",1995,178,8.2,73,"533,402"
155,Người Dơi Xuất Hiện,"Action, Crime, Drama            ",2005,140,8.2,70,"1,500,101"
156,Giác Quan Thứ Sáu,"Drama, Mystery, Thriller            ",1999,107,8.2,64,"1,009,449"
157,Lâu Đài Di Động Của Howl,"Animation, Adventure, Family            ",2004,119,8.2,82,"410,406"
158,Một Tâm Hồn Đẹp,"Biography, Drama            ",2001,135,8.2,72,"948,775"
159,Đương Đầu Với Thử Thách,"Action, Thriller            ",1988,132,8.2,72,"899,954"
160,Không Thể Tha Thứ,"Drama, Western            ",1992,130,8.2,85,"420,130"
161,Ngày Tàn Của Hitler,"Biography, Drama, History            ",2004,156,8.2,82,"361,842"
162,Đi Tìm Nemo,"Animation, Adventure, Comedy            ",2003,100,8.2,90,"1,064,360"
163,Bí Mật Los Angeles,"Crime, Drama, Mystery            ",1997,138,8.2,91,"592,280"
164,Chiến Binh Tự Do,"Action, Drama, Sci-Fi            ",2005,132,8.2,62,"1,139,180"
165,Indiana Jones Và Cuộc Thập Tự Chinh Cuối Cùng,"Action, Adventure            ",1989,127,8.2,65,"769,585"
166,Cuốn Theo Chiều Gió,"Drama, Romance, War            ",1939,238,8.2,97,"321,949"
167,Phố Tàu,"Drama, Mystery, Thriller            ",1974,130,8.2,92,"334,083"
